original,translation
Kitsé Cha’tnio (Chatino),
Wonnarua,
Dainggatti,
Bashkirs,
Muckleshoot,
Dharawala,
Oman,
Erie,
Punuba,
Wandjiwalgu,
Conoy,
P’urhépecha,
Slovenia,
Puruwá,
Silla,
Dja Dja Wurrung,
Pinikura,
Kurykans,
Nuxwsa'7aq (Nooksack),
Azerbaijan,جمهوری آذربایجان
Bidai,
Saint Barthelemy,
Venice,
Brazil,
Chehalis,
Enlhet,
Sabini,
Couture Complex,
Yeba-masã,
Kalaako/Malpa,
Wardandi,
Magadha,
Wahkiakum,
Rajastan,
Buganda,
Cappadocia,
Novgorod,
Sukhothai,
Achí,
Nigeria,نیجریه
Shoshoni,
Yana,
Haiti,
Hul'qumi'num Treaty Group,
Pequonnock,
Chiso,
Monte Alb?n,
Wajuk,
Wangkamana,
Pomo,
Sahtú Got’ine,
Ahtna Nenn’,
Chtimacha,
Eastern North Amercian hunter-gatherers,
E'ñepá,
Purduna,
Emberá Katío/Eyabida,
Lucca,
Sumas,
Tsardom of Muscovy,
Dakapeng culture,
Sicaog (Saukiog),
Vandals,
Qom,
Rajput Kingdoms,
Zaire (Belgium),
Zulu,
Uruguay,
Lithuania,
Greece,
Welsh,
Kariyarra,
Danes,
minor Hindu kingdoms,
Ho-de-no-sau-nee-ga (Haudenosaunee),
Lumbee,
Sissipahaw,
Shan states,
Palouse,
Naniaho,
Larrakia,
Duchy of Swabia,
Chinook,
Warlpiri,
Germany (UK),
Sikkim (Indian princely state),
Vallabhi,
Cuitlatec,
Dominican Republic,
Almoravid dynasty,
Yuhaviatam/Maarenga’yam (Serrano),
[Gáuigú (Kiowa),
Wayúu,
Sotho,
Moche,
Wet'suwet'en Yintikh,
Confederated Tribes of Grand Ronde,
Cahulia,
Tulalip,
Kurâ,
Yamato,
Wulgurukaba,
Sacapultec,
Umurecoómajá (Tatuyo),
Mnicoujou,
Leco,
Nipmuc,
Kuthant,
Han Zhao,
Arapaho,
Virgin Islands (Danemark),
Serano,
Kiowa-Comanche-Apache (Oklahoma),
Ngumbarl,
Eastern Shoshone,
Taos Pueblo,
Klamath,
Brandenburg,
Warlmanpa,
Quapaw,
Nahua (Mexico),
Visigothic Kingdom,
Montagnais Innu,
Soomra Emirate,
Jaru,
Walimanai (Baniwa),
Abyssinia,
Kelteminar culture,
Tonokoté,
Stz'uminus,
Cochin,
Yangman,
Bell-shaped burials culture,
Khanate of Sibir,
Ngombur,
Aikanã,
Ngaliwuru,
Ovimbundu,
Wargamaygan,
Kukatja,
Kansa,
Austria,
Doolboong/Miriwoong,
Aparai,
Holstein,
Macorix,
Manchuria,
Indonesia,اندونزی
Proto-Scythian culture,
Ngargad,
Malacatos,
Ais,
Ket Chonhab’ Kob’a (Chuj),
Batavian Republic,
Wahpekute,
British Somaliland,
Seleucid Kingdom,
Pataxó,
Winyah,
Saluda,
Wabanaki (Dawnland Confederacy),
Guenoa-Muinanes,
Caddo,
Ptolemaic Kingdom,
Achumawi,
Gujarat,
Yitha Yitha,
Takelma,
Cuxhaven,
Guinea,
Laurel complex,
Kañari,
Obiwa,
Malawi,
Koryaks,
Estonia,
Kingdom of Zunbil,
Neanderthal,
Nassau,
ZioBain (Siona),
Highland Mesolithic Hunter-Foragers,
Malak malak,
Niue,
Yurok,
Russia,روسیه
Korea,
Popoluca (mixe-zoque),
Ngarti,
Dutch Guiana,
Arabs,
Proto-Altaic pastoralists,
Wangkathaa,
Tsnungwe,
Principality of Wallachia,
Pemón,
Bribri,
Tsimane’,
Ayoreo,
Sind,
Dokapuara (Tuyuca),
Mardu,
Pandya state,
"Á,LEṈENEȻ ȽTE (W̱SÁNEĆ)",
Yanomami,
Djabuganjdji,
Afghanistan,افغانستان
Ungazigmit (Chaplino) Yupik,
Ato trading confederacy,
Achires,
Saxony,
Tripolitania,
Methow,
Gambia,
Cuba (Spain),
Ibadan,
Kichwa del Río Tigre,
Mahratta states,
Confederated Tribes of Siletz Indians,
Eyaq,
Eastern Masurian culture,
Sanavirones,
Chilula,
Sabirs,
Great Zimbabwe,
𐓏𐒰𐓓𐒰𐓓𐒷  𐒼𐓂𐓊𐒻  𐓆𐒻𐒿𐒷  𐓀𐒰^𐓓𐒰^(Osage),
Mashco Piro,
Siberians,
Barasano/Panenoá,
Saharan pastoral nomads,
Sirionó,
Iskonawa,
Plain bison hunters,
Hanover,
Kokomini,
Angola (Portugal),
Koyukon,
Sekakawon,
Suspiaq,
Kuril Islands,
Akwê,
Canela Ramkokamekrá,
French Indochina,
Betoy,
Karangpurru,
Kauwets'a:ka,
Piscataway,
Pakajaqi,
Minoan,
Principality of Galicia-Volhynia,
Brunka,
Wuikinuxv (Oweekeno),
We Wai Kum,
Karkhanids,
Qing Empire,
Hindu states,
Germany (France),
Munsee Lenape,
Menomini,
Kelteminar,
Houma,
Oghuz,
Envuga (Kawahib),
Cotonou,
Taiwan,
Skirii,
Yanesha,
Enenlhet-Toba,
Awabakal,
Romania,
Kingdom of Hawaii,
Gojoseon,
Guatemala,
kòréβahώ (korebaju/Koreguaje),
Quillacinga,
Gulidjan,
Volga Bulgars,
minor Hindu and Buddhist states,
Pskov,
Massacoes,
Ishir Ybytoso,
Karijona,
In-SHUCK-ch,
Lamalama,
Barundji,
Hövsgöl Nuur,
Anasazi,
Dapenkeng culture,
Empire of Alexander,
minor states under Indian influence,
Teppathiggi,
India,هند
Huns,
Iwaidja,
Tamalipueca,
Kwanlin Dün,
Inga,
Mossi States,
Daces,
Dumnonia,
Ur,
Niúachi,
Peoria (Oklahoma),
Cycladic,
Ngamini,
Pisones,
Cyrenaica,
Nanzan,
Popũkare,
Kiskiack,
M?ori,
Khmer Empire,
Dorset,
Jaminjung,
Swedes and Goths,
Yokuts,
Sauk Suiattle,
Assiniboin,
L?beck,
Teutonic Knights,
Asante,
x̣àʼisla w̓áwís (Haisla),
Wallmapu (Mapuche),
Jukun,
Bahamas,
Suomi,
Burarra,
Pankará,
Victoria (UK),
Pintupi,
Spanish Sahara,
Modena,
Kyrgyzstan,
Adena,
Appamattuck,
Malays,
Awngthim,
Parkatejê,
Pratiharas,
Frankish Kingdom,
Iceland,
Winikon bä lojon/Xk’ukwits/Ajlumob/Otulob (Ch'ol),
Maya chiefdoms and states,
Inkal Awá,
Pawtucket,
Hunnic Empire,
Caribbean hunter-gatherers,
Kwarizm-Shah,
Austro-Asiatic rice farmers,
Mescalero Apache,
Anambé,
Chontal de Guerrero – Tuxteco,
Koknar,
Poland-Llituania,
Achaemenid Empire,شاهنشاهی هخامنشی
Kuwait,کویت
Yuchi,
Athabaskan,
Acaxea,
Western Masurian culture,
Rome,روم
Aures,
United Arab Emirates,
Silia,
Anglo-Egyption Sudan,
Chorotega,
Haripunjaya,
Zhoa,
Odrysian Kingdom,
Tamaulipeco tribes,
Otoe-Missouria (Oklahoma),
Nuwuvi (Southern Paiute),
Me-Wuk (Central Sierra Miwok),
Hualapai,
Toromona,
Polanes,
Senegal,سنگال
Nansemond,
Núu-agha-tʉvʉ-pʉ̱ (Ute),
Dehcho Dene,
Hopewell,
Tano,
Luba,
Austria Hungary,
France,
Teotihuacán,
Abdelouadides,
Mirning,
Safavid Empire,ایران صفوی
Pechenegs,
Musgamagw Dzawada'enuxw,
Martinique,
Yirandali,
Tharawal,
Ests,
Ponca,
Giya,
Macedonia,
Mayaimi,
Luckiamute,
East Java,
Cimerians,
Nuwhaha,
Miwa,
Hunters-gatherers,
Byzantine Empire,
Tohono O'odham,
Jaqaru,
Nivaclé,
Volga-Kamm,
Rapa Nui,
Alawa,
Coree,
Second Samori Empire,
New Hebrides,
Principality of Novgorod,
British Protectorate,
Cayuse,
Wangkangurru,
Muwekma,
Yankton,
Pescado,
Onundagaonoga (Onondaga),
Malécu,
Yihamwo (Yagua),
Cholulteca,
Guasaves/Tamazulas,
Veps,
Harakbut,
Tilian,
Arabela,
Grand Duchy of Moscow,
Avars,
Delagoa Bay,
Puruborá,
Perquimans,
Luisiana,
Tsankupi,
Hach Winik (Lacandon),
Tapachulteco (mixe-zoque),
Belgian Congo,کنگوی بلژیک
Mesopotamia (GB),
Tobosos,
Únětice,
Sri Lanka,
Arara of Volta Grande,
Arrohatec,
Upper Tanana,
Pitta-Pitta,
Mingin,
Chinchoros,
Paleo-Inuit,
Islamic city-states,
Sac and Fox (Oklahoma),
Mattole,
Wappo,
Slavs,
Annam,
Djeoromitxí,
Buyiids,
Yanyuwa,
Trumai,
Ta'an Kwäch'än,
Cheyenne,
Pee Dee,
Marinahua,
Norway,
Angevin Empire,
Lippe-Detmold,
Mamluke Sultanate,
Carthaginian Empire,
Cabiyari/Kawiyarí,
Honduras,
Quinault,
Puinave,
French Equatorial Africa,
Limilngan,
Tharrgari,
Phrygians,
Emberá Chamí,
Chankas,
Coast Yuki,
Thaayorre,
Karasuk culture,
Han Empire,
Kingdom of Hungary,
Piipaash (Maricopa),
Akimel O'odham (Upper Pima),
Gungurugoni,
Pacahuara,
Bagan,
Nenets,
Yawuru,
Sveves,
Hurrian Kingdoms,
Florida (Spain),
Pennacook,
Champa City States,
Maung,
Beothuk,
Kizh,
Saka Kingdom,
Jeaga,
Yanga,
Älsé (Alsea),
Timurid Empire,امپراتوری تیموری
Puri,
Nganasan,
Atsugewi,
Monqui,
Jamaica,
Blue Horde,
Donghu tribes,
state societies and Aramaean kingdoms,
Takalak,
Maratha,
Akokisa,
Pallava,
Wyandotte (Oklahoma),
"Coos, Lower Umpqua, Siuslaw",
Pit River,
Tuʻi Tonga Empire,
Numu (Northern Paiute),
Germany,
Yinggarda,
Tomabela,
We Wai Kai,
Tuscany,
Waanyi,
Omàmìwininìwag (Algonquin),
Walapai,
Florida,
Wakaya,
San Marino,
,
Saharan Nomadic Tribes,
Tunis,
Portugal,
Mattaponi,
Molalla,
Ming Empire,
Karankawa,
Coquille,
Swedes,
Nez Perce,
Southern Rhodesia,
Miranha,
Madagascar,
Ayuukjä'äy (Mixe),
Kacha Edze (Urarina),
Ch'orti',
Neustria,
Andronovo,
Kingdom of Antigonus,
Kalinago (Island Carib),
Toba Wei,
Pegu,
Muina Murui / Murui-Muinanɨ,
Biloxi,
Bega,
Caloosahatchee culture,
Eastern Pomo,
Chicora,
Parhae,
Bella,
Wawula,
Maitraka Kingdom,
Nakako,
Kamilaroi,
Uyghurs,
Kaxixó,
Song Empire,
Mayi-Kutuna,
Dravidians,
Moneton,
Arabia,
Scottalnd,
Chelmia,
Geawegal,
Rajputs,
Kamaiurá,
Mbara,
Simhala,
Copuces,
Hñähñu (Otomí),
Me-Wuk (Southern Sierra Miwok),
Gadubanud,
Dacia,
Kitanemuk,
West African cereal farmers,
Sapara,
Me-Wuk (Lake Miwok),
Kogui/Kaggabba,
Tenino,
Chiricahua,
Yagán,
I'târap,
Cherokee (Oklahoma),
Mosetén,
Austroasian rice cultures,
Big Stone Cree,
Kuuku-ya’u,
Angola,آنگولا
Warluwarra,
Emberá Dobidá,
Maskat,
Yidinjdji,
Arma,
Zo’é,
Diné Bikéyah,
Cuman Khanates,
Yueban,
Steppe Mesolithic Hunter-Foragers,
Tariana,
Alluvial Lowland Mesolithic Hunter-Foragers,
Tontotuna (Totoró),
Sierra Leone,سیرالئون
Calusa,
Algiers,
Ditidaht,
Fourche Maline Culture,
Desert hunter-gatherers,
Ubaid,
Kawaiisu,
Rome (Constantinus),
Chinese Warlords,
Ngarluma,
Chatot,
Kakheti-Hereti,
Hanis Coos,
Northern Pomo,
Senegal (FR),سنگال
Carnatic,
Kara Khitai Khaganate,
Yazne,
Shmuwich (Barbareño),
Kazan Khanate,
United States,
Tupis,
Japan,
Yjxa,
Wiwa,
Gunu,
Emirate of Córdoba,
Mascat,
Ukarãngmã,
Guwa,
Quinnipiac,
Buglé and Ngäbé,
Bulgar Khanate,
Nitassinan (Innu),
Kayambi,
Kuyani,
Great Moravia,
Bosnia and Herzegovina,
Boonwurrung,
KiKiallus,
Oglala,
Nʉmʉnʉʉ (Comanche),
Lagunero,
Wendake-Nionwentsïo,
Samis,
Kuuku-yani,
Teotihuacàn,
Ghana,غنا
Barbados (UK),
Turks and Caicos Islands,
Tupinambá,
Diaguita,
Kuba,
Early combware,
Madija,
Rikbaktsá,
Kiriri,
Yudjá,
Kuwema,
Tigua,
Lokono (Arawak),
Margany,
Circars,
Yemen,یمن
Massa,
Spanish Guinea,
Canada,کانادا
Assam,
Chukchansi,
Damot,
Awá,
Añuu,
Choctaw (Oklahoma),
Castile,
Qayqayt,
Kumeyaay,
Salish Kootenai (Flathead),
Montserrat,
Rayados (Borrados),
Ngarla,
Broërec,
Oldenburg,
Naples,
Luritja,
Lozi,
Fatimid Caliphate,
Polyanians,
Mohegan,
Belize,
Mountain Maidu,
Savoy,
Sultanate of Utetera,
United States of America,
Basks,
Kakinte,
Očhéthi Šakówiŋ,
Tuxá,
Niitsítpiis-stahkoii ᖹᐟᒧᐧᐨᑯᐧ ᓴᐦᖾᐟ (Blackfoot / Niitsítapi ᖹᐟᒧᐧᒣᑯ),
Anatolian tribes,
Ethiopia,اتیوپی
Kingdom of Syphax,
Salasaka,
Quiyoughcohannock,
Anggamudi,
Persia,
Irlanda,
Tancalba,
Karluks,
Western Sahara,صحرای غربی
Western Gokturk Khaganate,
Travancore,
Zoró/Pangyjej,
Matagalpa/Cacaopera,
United Kingdom,
Sinkyone,
Féénemɨnaa,
Myaamia,
Dau Nom Wintu,
Slavonic tribes,
Avanti,
Bibbulman,
Philippines,فیلیپین
Warao,
Harapunchai,
Muniche,
Northern Liang,
Dharug,
Apache,
Surinam,
Mojeño,
Sultinate of Zanzibar,
Ndé Kónitsąąíí Gokíyaa (Lipan Apache),
Skilloot,
South Africa,آفریقای جنوبی
Kō Hawaiʻi Paeʻāina (Hawaiian Kingdom),
Germanic tribes,
Natal,
Matawai,
Kungarakany,
Nicaragua,
Novgorod-Seversky,
Khazars,
Ucluelet,
Barghawata,
,
Punjab,
British East Africa,
Papal States,
Palyku,
Blemmyes,
Pequot,
Pueblos,
S'Klallam,
Pokanoket,
Chiquitano,
Bagirmi,
Granada,
Rwanda (Belgium),
Iranian pastoralists,دامداران ایرانی
Colombia,
Komi,
Wangkumara,
Vishnu-Kundins,
Zayyanid Caliphate,
Liao,
Sasanian dependencies,وابستگی‌های ساسانی
New South Wales,
French Somaliland,
O-ga-xpa Ma-zhoⁿ (O-ga-xpa),
Puyallup,
Yandruwandha,
Jicarilla Apache,
Pomeranian culture,
Hitchiti,
Ngwato,
Aaniiih,
Kaarta,
Zacateco ,
Ahantchuyuk,
Tonkawa (Oklahoma),
Kasi,
Jamamadi,
Valdivia,
Weyanock,
Rashtrakuta state,
Kamerun,
Hi Ui (Pame/Chichimeco Jonaz),
Norte Chico,
Klahoose,
Franche-Comté,
Costa Rica,
Darumbal,
Miyan,
Pech,
Lil'wat,
Halalt,
Penobscot,
Ahmadnagar,
Birria,
Moose Cree,
Karakalpaks,
Essex,
Juma (Kawahib),
Tanacross,
Xixime,
Rembarnga,
Inuit,
Mozambique (Portugal),
Salish & Kootenai Tribes,
HIghland Mesolithic Hunter-Foragers,
Bangladesh,بنگلادش
Monte Albàn,
Yoli (Concho),
Dvaravati,
Kingdom of Kapisa,
Rio De Oro,
Pykopcatejê,
Mysore,
Yanam (Ninam),
Yanktonai,
Yaka,
Umida,
Colchis,
Mon States,
Mysore (Indian princely state),
Cochimà,
Alwa,
Saba,
Bukara Khanate,
Marramaninjsji,
Woolna,
Kushan Principalities,
Xakriabá,
Scottland,
Gugu-Badhun,
Eora,
Pamoari,
Tawakoni,
Gunibidji,
Turkey,ترکیه
Angaité,
Yakima,
Vice-Royalty of Brazil,
Carcross/Tagish First Nation (Yukon),
Powhatan,
Jabirrjabirr,
Celts,
Alazapas,
China,چین
Guna Yala,
Kulina Pano,
Kathlamet,
German Empire,
Umoⁿhoⁿ (Omaha),
Tjer-di/Teribe Broram,
Aghlabid Emirate,
Kingdom of Pagan,
Chachi,
Nan Chao,
Eritrea,
Totorames,
Axum,
Chahta Yakni (Choctaw),
Poqomchi’,
Principality of Vladimir-Suzdal,
Baltic tribes,
Florence,
Gooty,
Huasteco/Teenek,
Spokane,
Sicangu,
Eeyou Istchee,
Fox,
Guwinmal,
Qwû'lh-hwai-pûm (Klickitat),
Thule,
Quechua,
Timotes,
Wunambul,
So'to (Yekuana),
Minang,
Kadambas,
Byelarus,
Sultanate of Delhi,
Manteño-Huancavilca,
Essequibo,
Senas,
Dyungungoo (Gubbi Gubbi),
Watjarri,
Calvas,
Dominion of Newfoundland,
O’ de püt/Angpøn (Zoque),
Gunwinggu,
Bosnia-Herzegovina,
Kiikaapoi (Kickapoo),
Tinigua,
Habsburg Austria,
Youghtanund,
Siekopa’aiInte/Aido-Pãi (Secoya),
Havasu Baaja (Havasupai),
Gitxaała,
Chochenyo,
Kisêdjê,
Stillaguamish,
Tanimuka,
Anguilla,
Benin,بنین
Slovakia,
Kaytej,
Xinjiang,
Ngalakan,
Umukomasã/Desana,
Magüta/Ticuna,
Wintʰu• Po•m (Northern Wintu),
Huni Kuin,
Waorani,
Massachusetts Bay,
Wuningangk,
Palatinate,
Lombard principalities,
Okwanuchu,
Seminole,
French West Africa,
Janos,
Chandellas,
Unggarangi,
Holikachuk,
Congo,جمهوری کنگو
Emberá/Eperara/Épera,
Sappony,
Qataban,
Kaw (Oklahoma),
Mechoopda,
Dena'ina Ełnena,
Bidjara,
Bilinara,
Kalkadoon,
Vengi,
Australia,
Boii,
Mississaugas of the Credit First Nation,
Katukina,
Wudjari,
Eperara Siapidara,
Zhangzhung Kingdom,
Pallavas,
Syria (France),
Kali,
Egypt,مصر
Tama Dujo,
Saylan,
Kolla-Atacameño,
Jōmon,
Bundjalung,
Guarayo,
Guanahatabey,
Innu,
Andyamathanha,
Wappinger,
Unggumi,
Macedon and Hellenic League,
K’ómoks,
Chalukyas,
Yurí,
Chisos,
Syilx tmixʷ (Okanagan),
Garrochambas,
Ópata (Tegüima-Eudebe-Hoba),
Wambaya,
Kijkitat,
El Paraiso,
Malabar,
Kaantju,
Franks,
Dutch settlements,
Turkish Cypriot-administered area,
Croatan,
Inupiaq,
Bulgaria,
Kambeba/Omagua,
Matecumbe,
Pericú,
Guaycura,
Stentinello culture,
Wajuru,
Cushites,
Mayas,
Cholas,
Japan (USA),
Kingdom of the Two Sicilies,
Matlatzinco/matlatzinteca,
Sobaipuri,
Tenetehara (Tembé),
Bengal,
Hoti,
Tepehuán,
Misak,
Chimú,
Yuru,
Middag Kingdom,
Bigambul,
Ifat,
Ganggalida,
Wathaurong,
Arran,
Western Nehântick,
New River Shasta,
Coahuiltecan,
Pyu state,
Waíkhana,
Burmese,
Ceylon (Dutch),
Harer (Egypt),
Cascades,
Chitonahua/Murunahua,
Zanzibar,
Inuvialuit,
Whilkut,
Cuttatawomen,
Mountain Métis,
Ha Shuta Enima (Mazateco),
Dene Tha',
Gunggari,
Crow,
Anglo-Saxons,
Teke,
Brushed Pottery culture,
Kakataibo,
Tjerratj,
Juhup-Yuju/Yuhupdëh,
Nguburinji,
Kitselas,
Maize farmers,
Roman Republic,
Warsenis,
Runixa Ngiigua (Chocho),
Pocumtuc,
Unangam Tanangin (Unangax̂ /Aleut),
Mbailundu,
White Russia,
Nobatia,
Wadi Wadi,
Mercia,
Golden Horde,
Malkana,
Bunyoro,
Kalapalo,
Qhara Qhara,
Vice-Royalty of Peru,
Yuma,
Hixkaryana,
Aymara kingdoms,
Hiaitsiihi,
Stoney,
Sintashta,
Montenegro,
Clatskanie,
Finns,
Menominee,
Württemberg,
Klachuris,
Cheraw,
Kluane,
Mandandanji,
Lake Vygozero,
Muruwari,
Holy Roman Empire,
Nakara,
Illinnois,
Amuq D,
Hesquiaht,
Shirvan,
Suruwaha,
minor Hindu & Buddhist states,
Kolla,
Yukpa,
Matlatzinco/Tlahuica/Ocuiltec,
Oto,
Caxas,
Post-Ming Warlords,
Suriname,
Tokugawa shogunate,
Hokuzan,
Waranka,
Laklanõ,
Budjari,
Yekooche,
Baraba Baraba,
minor Hindu and Buddhist kingdoms,
Denmark,
Lübeck,
Atakapa Ishak Chawasha,
Tumbalalá,
Omaha,
Paramas,
Amahuaca,
Nimanburu,
Mutumui,
Abbasid Caliphate,
Miami (Oklahoma),
Shuar-Wampis,
Yaminawá,
Touareg,
Lassik,
Yoko T’aan (Chontal),
Slijuala Xanuc (Chontal),
Wagiman,
Ireland,
Tunisia,تونس
Italian Somaliland,
Poland-Lithuania,
Jardwadjali,
Yavapai,
Basutoland,
Netherlands,
New Caledonia,
Tajikistan,تاجیکستان
Kija,
Dangbon,
Panará,
K’áálǫ Got’ine,
Corsica,
Palas,
Yamayeka (Yamaye),
Barotse,
Podunks,
Papous,
Nyul Nyul,
?,
English territory,
"Ye""pâ-masa",
Buandig,
Ngatjumay,
Kuku-yalanji,
Lagos,
Alutiiq (Sugpiaq),
Queensland (UK),
Sambian-Nothangian culture,
Pakistan,پاکستان
Shiwiar,
Krenak,
Santee,
Yankuntjatjara,
Carcross/Tagish First Nation (BC),
Ibadites,
Emirate of Bin Shal'an,
Chango,
Mehin,
Tekohá (Paĩ Tavytera/Kaiowá),
Expansionist Kingdom of Merina,
Rome (Diocletianus),
Hong Kong,
Bundelkhand,
Warumungu,
Mandan,
Colville,
Nespelem,
Alabama,
Pacheedaht,
Jarawara,
